FECHA_CORTE;ANIO;MES;ID_CLASE;CLASE;ID_CATEGORIA;CATEGORIA;DEPARTAMENTO;ID_UBIGEO;NUMERO_ESTABLECIMIENTOS;NUMERO_HABITACIONES;NUMERO_PLAZAS_CAMA;PORCENTAJE_TNOH;PORCENTAJE_TNOC;PROMEDIO_PERMANENCIA;PROMEDIO_PERMANENCIA_NAC;PROMEDIO_PERMANENCIA_EXT;TOTAL_ARRIBOS;TOTAL_ARRIBOS_NAC;TOTAL_ARRIBOS_EXT;TOTAL_PERNOCT;TOTAL_PERNOCT_NAC;TOTAL_PERNOCT_EXT;TOTAL_EMPLEO
;2019;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;AMAZONAS;010000;264;2899;4622;28.4;20.11;1.19;1.17;1.61;24150;23056;1094;28812;27047;1765;517
;2019;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;ÁNCASH;020000;648;7012;12133;23.4;18.01;1.34;1.32;1.64;50686;48143;2543;67745;63566;4179;1214
;2019;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;APURÍMAC;030000;514;4458;6933;39.24;34.51;1.05;1.05;1.07;70409;68492;1917;74163;72107;2056;804
;2019;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;MADRE DE DIOS;170000;304;4680;7733;21.4;16.84;1.24;1.18;1.57;32546;27510;5036;40362;32467;7895;837
;2019;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;PUNO;210000;772;7819;13615;25.66;20.49;1.15;1.14;1.22;75077;63016;12061;86474;71793;14681;1431
;2019;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;UCAYALI;250000;478;5640;8453;22.55;19.75;1.8;1.8;1.88;28785;28462;323;51743;51135;608;1005
;2019;01;00;NO CLASIFICADO;TT;TODAS CONSOLIDADAS;AMAZONAS;010000;264;2899;4622;28.4;20.11;1.19;1.17;1.61;24150;23056;1094;28812;27047;1765;517
;2019;01;00;NO CLASIFICADO;TT;TODAS CONSOLIDADAS;ÁNCASH;020000;648;7012;12133;23.4;18.01;1.34;1.32;1.64;50686;48143;2543;67745;63566;4179;1214
;2019;01;01;HOTEL;01;1 ESTRELLA;AMAZONAS;010000;1;20;43;57.74;26.86;1;1;1;358;354;4;358;354;4;6
;2019;01;01;HOTEL;01;1 ESTRELLA;ÁNCASH;020000;1;74;109;18.74;19.33;1.38;1.38;0;474;474;0;653;653;0;2
