FECHA_CORTE;ANIO;MES;ID_CLASE;CLASE;ID_CATEGORIA;CATEGORIA;DEPARTAMENTO;ID_UBIGEO;NUMERO_ESTABLECIMIENTOS;NUMERO_HABITACIONES;NUMERO_PLAZAS_CAMA;PORCENTAJE_TNOH;PORCENTAJE_TNOC;PROMEDIO_PERMANENCIA;PROMEDIO_PERMANENCIA_NAC;PROMEDIO_PERMANENCIA_EXT;TOTAL_ARRIBOS;TOTAL_ARRIBOS_NAC;TOTAL_ARRIBOS_EXT;TOTAL_PERNOCT;TOTAL_PERNOCT_NAC;TOTAL_PERNOCT_EXT;TOTAL_EMPLEO
20260330;2024;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;AMAZONAS;010000;302;2891;4530;12,63;9,36;1,3;1,28;1,53;10143;9642;501;13139;12373;766;538
20260330;2024;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;ÁNCASH;020000;719;6308;10671;18,62;13,66;1,17;1,18;1,07;38666;34928;3738;45201;41212;3989;1162
20260330;2024;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;APURÍMAC;030000;510;4503;7047;19,27;14,28;1,15;1,15;1,13;27188;27074;114;31186;31057;129;441
20260330;2024;01;00;NO CLASIFICADO;TT;TODAS CONSOLIDADAS;AMAZONAS;010000;302;2891;4530;12,63;9,36;1,3;1,28;1,53;10143;9642;501;13139;12373;766;538
20260330;2024;01;00;NO CLASIFICADO;TT;TODAS CONSOLIDADAS;ÁNCASH;020000;719;6308;10671;18,62;13,66;1,17;1,18;1,07;38666;34928;3738;45201;41212;3989;1162
20260330;2024;01;00;NO CLASIFICADO;TT;TODAS CONSOLIDADAS;APURÍMAC;030000;510;4503;7047;19,27;14,28;1,15;1,15;1,13;27188;27074;114;31186;31057;129;441
20260330;2024;01;01;HOTEL;01;1 ESTRELLA;AMAZONAS;010000;1;20;24;0;0;0;0;0;0;0;0;0;0;0;0
20260330;2024;01;01;HOTEL;01;1 ESTRELLA;ÁNCASH;020000;14;401;619;14,21;12,94;1,09;1,09;0;2288;2288;0;2483;2483;0;53
20260330;2024;01;01;HOTEL;01;1 ESTRELLA;APURÍMAC;030000;2;67;99;20,03;16,65;1;1;0;511;511;0;511;511;0;10
20260330;2024;01;01;HOTEL;01;1 ESTRELLA;TUMBES;240000;2;47;100;0;0;0;0;0;0;0;0;0;0;0;0
20260330;2024;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;AREQUIPA;040000;1265;10848;18374;17,6;14,18;1,43;1,36;1,75;56297;45490;10807;80751;61855;18896;1264
20260330;2024;01;01;HOTEL;01;1 ESTRELLA;AREQUIPA;040000;6;208;347;28,44;24,89;1,12;1,11;1,59;2392;2365;27;2677;2634;43;34
20260330;2024;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;AYACUCHO;050000;612;5722;9244;15,07;11,95;1,17;1,17;1,15;29246;28675;571;34240;33584;656;686
20260330;2024;01;01;HOTEL;01;1 ESTRELLA;AYACUCHO;050000;8;200;353;10,74;9,48;1,93;1,83;3,52;536;503;33;1037;921;116;35
20260330;2024;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;CAJAMARCA;060000;734;6502;10396;12,73;9,52;1,24;1,24;1,97;24702;24664;38;30676;30601;75;732
20260330;2024;01;01;HOTEL;01;1 ESTRELLA;CAJAMARCA;060000;5;132;245;9,16;7,87;1,49;1,49;0;401;401;0;598;598;0;21
20260330;2024;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;CALLAO;070000;272;3770;7034;39,52;37,6;1,02;1,01;1,22;139972;137392;2581;142294;139144;3150;1145
20260330;2024;01;00;NO CLASIFICADO;TT;TODAS CONSOLIDADAS;CALLAO;070000;272;3770;7034;39,52;37,6;1,02;1,01;1,22;139972;137392;2581;142294;139144;3150;1145
20260330;2024;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;CUSCO;080000;1997;19093;34162;18,28;16,47;1,48;1,28;1,69;118083;60435;57648;174433;77187;97246;3678
20260330;2024;01;00;NO CLASIFICADO;TT;TODAS CONSOLIDADAS;CUSCO;080000;1997;19093;34162;18,28;16,47;1,48;1,28;1,69;118083;60435;57648;174433;77187;97246;3678
20260330;2024;01;01;HOTEL;01;1 ESTRELLA;CUSCO;080000;4;118;193;13,91;14,01;1,31;1,31;0;640;640;0;838;838;0;19
20260330;2024;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;HUANCAVELICA;090000;239;2564;3966;15,77;12,48;1,1;1,1;1,48;13985;13964;21;15341;15310;31;301
20260330;2024;01;00;NO CLASIFICADO;TT;TODAS CONSOLIDADAS;HUANCAVELICA;090000;239;2564;3966;15,77;12,48;1,1;1,1;1,48;13985;13964;21;15341;15310;31;301
20260330;2024;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;HUÁNUCO;100000;508;5395;8119;18,82;15,02;1,21;1,21;1,17;31259;31143;116;37799;37663;136;668
20260330;2024;01;00;NO CLASIFICADO;TT;TODAS CONSOLIDADAS;HUÁNUCO;100000;508;5395;8119;18,82;15,02;1,21;1,21;1,17;31259;31143;116;37799;37663;136;668
20260330;2024;01;01;HOTEL;01;1 ESTRELLA;HUÁNUCO;100000;8;241;369;21,68;13,67;1,03;1,03;0;1522;1522;0;1564;1564;0;33
20260330;2024;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;ICA;110000;796;8010;13480;22,04;16,89;1,23;1,22;1,3;57330;48985;8345;70593;59781;10812;1450
20260330;2024;01;01;HOTEL;01;1 ESTRELLA;ICA;110000;5;106;147;9,37;9,94;1;1;1;453;446;7;453;446;7;17
20260330;2024;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;JUNÍN;120000;1509;15283;24838;17,7;13,97;1,16;1,15;1,49;93123;92876;247;107565;107196;369;2762
20260330;2024;01;01;HOTEL;01;1 ESTRELLA;JUNÍN;120000;6;246;511;19,26;12,66;1,53;1,53;0;1310;1310;0;2005;2005;0;26
20260330;2024;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;LA LIBERTAD;130000;992;7375;12342;15,33;14,09;1,08;1,05;1,64;50032;47638;2394;53903;49980;3923;692
20260330;2024;01;01;HOTEL;01;1 ESTRELLA;LA LIBERTAD;130000;5;116;201;33,06;22,81;1;1;1;1421;1407;14;1421;1407;14;20
20260330;2024;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;LAMBAYEQUE;140000;457;4553;6663;15,52;12,45;1,05;1,05;1,06;24390;23803;587;25710;25089;621;577
20260330;2024;01;00;NO CLASIFICADO;TT;TODAS CONSOLIDADAS;LAMBAYEQUE;140000;457;4553;6663;15,52;12,45;1,05;1,05;1,06;24390;23803;587;25710;25089;621;577
20260330;2024;01;01;HOTEL;01;1 ESTRELLA;LAMBAYEQUE;140000;2;63;70;1,38;1,11;1;1;0;24;24;0;24;24;0;11
20260330;2024;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;LIMA;150000;7137;55717;96243;22,21;21,19;1,24;1,24;1,27;2512339;2435789;76550;3125258;3027987;97270;38505
20260330;2024;01;00;NO CLASIFICADO;TT;TODAS CONSOLIDADAS;LIMA;150000;7137;55717;96243;22,21;21,19;1,24;1,24;1,27;2512339;2435789;76550;3125258;3027987;97270;38505
20260330;2024;01;01;HOTEL;01;1 ESTRELLA;LIMA;150000;12;428;752;38,11;36,82;1,1;1,1;1,12;7578;7527;51;8355;8298;57;63
20260330;2024;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;LORETO;160000;804;6890;10773;14,26;12,86;1,66;1,63;1,75;25901;19942;5959;42940;32537;10403;711
20260330;2024;01;00;NO CLASIFICADO;TT;TODAS CONSOLIDADAS;LORETO;160000;804;6890;10773;14,26;12,86;1,66;1,63;1,75;25901;19942;5959;42940;32537;10403;711
20260330;2024;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;MADRE DE DIOS;170000;343;4527;7455;21,22;17,84;1,16;1,11;1,84;35565;33118;2447;41233;36729;4504;792
20260330;2024;01;00;NO CLASIFICADO;TT;TODAS CONSOLIDADAS;MADRE DE DIOS;170000;343;4527;7455;21,22;17,84;1,16;1,11;1,84;35565;33118;2447;41233;36729;4504;792
20260330;2024;01;01;HOTEL;01;1 ESTRELLA;MADRE DE DIOS;170000;5;142;252;22,88;19,29;1;1;1;1505;1462;43;1507;1464;43;22
20260330;2024;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;MOQUEGUA;180000;168;1720;2973;16,61;11,35;1,16;1,16;1,23;8992;8885;107;10464;10332;132;230
20260330;2024;01;00;NO CLASIFICADO;TT;TODAS CONSOLIDADAS;MOQUEGUA;180000;168;1720;2973;16,61;11,35;1,16;1,16;1,23;8992;8885;107;10464;10332;132;230
20260330;2024;01;01;HOTEL;01;1 ESTRELLA;MOQUEGUA;180000;2;61;87;45,21;35,6;1,07;1,07;1,67;898;895;3;960;955;5;8
20260330;2024;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;PASCO;190000;360;3771;5786;14,89;11,84;1,17;1,17;1,27;18138;18043;95;21241;21120;121;669
20260330;2024;01;01;HOTEL;01;1 ESTRELLA;PASCO;190000;5;148;240;18,55;14,22;1,13;1,13;0;936;936;0;1058;1058;0;25
20260330;2024;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;PIURA;200000;1161;10648;19207;41,32;32,87;1,64;1,59;2,05;119414;107361;12053;195721;171060;24661;2109
20260330;2024;01;00;NO CLASIFICADO;TT;TODAS CONSOLIDADAS;PIURA;200000;1161;10648;19207;41,32;32,87;1,64;1,59;2,05;119414;107361;12053;195721;171060;24661;2109
20260330;2024;01;01;HOTEL;01;1 ESTRELLA;PIURA;200000;2;40;77;5;19,82;1,35;1,35;0;350;350;0;473;473;0;6
20260330;2024;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;PUNO;210000;840;7464;12529;22,06;19,05;1,2;1,19;1,29;61800;59212;2588;74002;70653;3349;1344
20260330;2024;01;00;NO CLASIFICADO;TT;TODAS CONSOLIDADAS;PUNO;210000;840;7464;12529;22,06;19,05;1,2;1,19;1,29;61800;59212;2588;74002;70653;3349;1344
20260330;2024;01;01;HOTEL;01;1 ESTRELLA;PUNO;210000;4;102;181;41,81;30,55;1,19;1,19;1,05;1437;1418;19;1714;1694;20;12
20260330;2024;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;SAN MARTÍN;220000;878;9275;14546;22,71;17,84;1,32;1,28;2,64;61131;59591;1540;80425;76362;4063;1624
20260330;2024;01;01;HOTEL;01;1 ESTRELLA;SAN MARTÍN;220000;6;126;199;33,08;30,18;1,63;1,62;2,08;1144;1132;12;1862;1837;25;25
20260330;2024;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;TACNA;230000;432;4135;7426;20,79;17,25;1,38;1,28;1,49;28800;15354;13446;39715;19672;20043;511
20260330;2024;01;00;NO CLASIFICADO;TT;TODAS CONSOLIDADAS;TACNA;230000;432;4135;7426;20,79;17,25;1,38;1,28;1,49;28800;15354;13446;39715;19672;20043;511
20260330;2024;01;01;HOTEL;01;1 ESTRELLA;TACNA;230000;3;99;205;6,81;5,38;2,05;2,04;3;167;166;1;342;339;3;12
20260330;2024;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;TUMBES;240000;248;2434;4624;15,91;15,67;1,56;1,54;1,8;14421;13678;743;22456;21116;1340;316
20260330;2024;01;00;NO CLASIFICADO;TT;TODAS CONSOLIDADAS;TUMBES;240000;248;2434;4624;15,91;15,67;1,56;1,54;1,8;14421;13678;743;22456;21116;1340;316
20260330;2024;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;UCAYALI;250000;548;5433;8394;34,97;23,95;3,26;3,3;1,81;19097;18587;510;62317;61394;923;979
20260330;2024;01;00;NO CLASIFICADO;TT;TODAS CONSOLIDADAS;UCAYALI;250000;548;5433;8394;34,97;23,95;3,26;3,3;1,81;19097;18587;510;62317;61394;923;979
20260330;2024;01;00;NO CLASIFICADO;TT;TODAS CONSOLIDADAS;AREQUIPA;040000;1265;10848;18374;17,6;14,18;1,43;1,36;1,75;56297;45490;10807;80751;61855;18896;1264
20260330;2024;01;00;NO CLASIFICADO;TT;TODAS CONSOLIDADAS;AYACUCHO;050000;612;5722;9244;15,07;11,95;1,17;1,17;1,15;29246;28675;571;34240;33584;656;686
20260330;2024;01;00;NO CLASIFICADO;TT;TODAS CONSOLIDADAS;CAJAMARCA;060000;734;6502;10396;12,73;9,52;1,24;1,24;1,97;24702;24664;38;30676;30601;75;732
20260330;2024;01;00;NO CLASIFICADO;TT;TODAS CONSOLIDADAS;ICA;110000;796;8010;13480;22,04;16,89;1,23;1,22;1,3;57330;48985;8345;70593;59781;10812;1450
20260330;2024;01;00;NO CLASIFICADO;TT;TODAS CONSOLIDADAS;JUNÍN;120000;1509;15283;24838;17,7;13,97;1,16;1,15;1,49;93123;92876;247;107565;107196;369;2762
20260330;2024;01;00;NO CLASIFICADO;TT;TODAS CONSOLIDADAS;LA LIBERTAD;130000;992;7375;12342;15,33;14,09;1,08;1,05;1,64;50032;47638;2394;53903;49980;3923;692
20260330;2024;01;00;NO CLASIFICADO;TT;TODAS CONSOLIDADAS;PASCO;190000;360;3771;5786;14,89;11,84;1,17;1,17;1,27;18138;18043;95;21241;21120;121;669
20260330;2024;01;00;NO CLASIFICADO;TT;TODAS CONSOLIDADAS;SAN MARTÍN;220000;878;9275;14546;22,71;17,84;1,32;1,28;2,64;61131;59591;1540;80425;76362;4063;1624
20260330;2024;01;01;HOTEL;02;2 ESTRELLAS;AMAZONAS;010000;38;1015;1660;19,24;16,77;1,23;1,23;2,15;7003;6970;33;8629;8558;71;167
20260330;2024;01;01;HOTEL;02;2 ESTRELLAS;ÁNCASH;020000;58;1570;2879;18,22;13,24;1,32;1,31;1,4;8974;8744;230;11814;11492;322;236
20260330;2024;01;01;HOTEL;02;2 ESTRELLAS;APURÍMAC;030000;7;277;473;21,5;16,4;1,13;1,13;1,58;2121;2109;12;2405;2386;19;27
20260330;2024;01;01;HOTEL;02;2 ESTRELLAS;AREQUIPA;040000;42;1165;2051;21,3;18,52;1,44;1,44;1,41;8170;7772;398;11776;11214;562;191
20260330;2024;01;01;HOTEL;02;2 ESTRELLAS;AYACUCHO;050000;8;339;590;9,85;9,22;1,89;1,89;2,33;892;883;9;1686;1665;21;50
20260330;2024;01;01;HOTEL;02;2 ESTRELLAS;CAJAMARCA;060000;62;1676;2617;20,32;15,02;1,19;1,19;1,07;10220;10138;82;12184;12096;88;254
20260330;2024;01;01;HOTEL;02;2 ESTRELLAS;CALLAO;070000;1;40;67;18,39;20,46;1,37;1,88;1,13;310;99;211;425;186;239;6
20260330;2024;01;01;HOTEL;02;2 ESTRELLAS;CUSCO;080000;48;1205;2249;19,3;16,35;1,61;1,5;1,76;7067;3955;3112;11398;5922;5476;352
20260330;2024;01;01;HOTEL;02;2 ESTRELLAS;HUANCAVELICA;090000;2;40;69;37,26;34,69;1,62;1,63;1,33;457;442;15;742;722;20;9
20260330;2024;01;01;HOTEL;02;2 ESTRELLAS;HUÁNUCO;100000;51;1578;2474;31,18;25,83;1,3;1,3;1,52;15233;15154;79;19813;19693;120;253
20260330;2024;01;01;HOTEL;02;2 ESTRELLAS;ICA;110000;57;1646;2931;21,15;17;1,26;1,27;1,05;12231;11812;419;15443;15004;439;252
20260330;2024;01;01;HOTEL;02;2 ESTRELLAS;JUNÍN;120000;29;892;1583;17,78;13,35;1,29;1,28;1,45;5096;5045;51;6550;6476;74;138
20260330;2024;01;01;HOTEL;02;2 ESTRELLAS;LA LIBERTAD;130000;22;555;960;29,03;29,82;1,15;1,13;1,56;7744;7402;342;8874;8341;533;102
20260330;2024;01;01;HOTEL;02;2 ESTRELLAS;LAMBAYEQUE;140000;70;2020;3119;17,55;13,46;1,15;1,15;1,24;11317;11233;84;13010;12906;104;297
20260330;2024;01;01;HOTEL;02;2 ESTRELLAS;LIMA;150000;123;5081;8956;40,05;33,53;1,25;1,24;1,57;86968;83984;2984;108682;103999;4683;936
20260330;2024;01;01;HOTEL;02;2 ESTRELLAS;LORETO;160000;9;205;358;14,15;9,52;1,21;1,19;1,45;870;790;80;1056;940;116;41
20260330;2024;01;01;HOTEL;02;2 ESTRELLAS;MADRE DE DIOS;170000;7;193;343;32,24;25,72;1,28;1,27;1,34;2142;1941;201;2735;2465;270;37
20260330;2024;01;01;HOTEL;02;2 ESTRELLAS;MOQUEGUA;180000;24;596;994;22,2;17,11;1,68;1,61;2,24;3136;2791;345;5273;4499;774;124
20260330;2024;01;01;HOTEL;02;2 ESTRELLAS;PASCO;190000;5;168;318;23,43;18,75;1,4;1,4;1;1323;1322;1;1848;1847;1;29
20260330;2024;01;01;HOTEL;02;2 ESTRELLAS;PIURA;200000;17;420;701;27,59;21,52;1,65;1,65;1,73;2829;2734;95;4677;4513;164;79
20260330;2024;01;01;HOTEL;02;2 ESTRELLAS;PUNO;210000;28;649;1142;13,47;9,4;1,22;1,2;1,55;2721;2521;200;3329;3019;310;85
20260330;2024;01;01;HOTEL;02;2 ESTRELLAS;SAN MARTÍN;220000;27;726;1254;39,97;34,95;1,87;1,86;2,08;7278;6999;279;13585;13006;579;146
20260330;2024;01;01;HOTEL;02;2 ESTRELLAS;TACNA;230000;28;799;1590;33,82;32,19;1,67;1,68;1,66;9497;4743;4754;15867;7975;7892;155
20260330;2024;01;01;HOTEL;02;2 ESTRELLAS;TUMBES;240000;6;162;295;22,72;15,12;1,72;1,73;1,5;804;764;40;1383;1323;60;38
20260330;2024;01;01;HOTEL;02;2 ESTRELLAS;UCAYALI;250000;2;63;116;6,2;4,39;1,98;1,95;4;80;79;1;158;154;4;13
20260330;2024;01;01;HOTEL;03;3 ESTRELLAS;AMAZONAS;010000;18;418;718;22,23;19,81;1,29;1,28;1,79;3414;3309;105;4410;4222;188;114
20260330;2024;01;01;HOTEL;03;3 ESTRELLAS;ÁNCASH;020000;40;1371;2421;21,24;16,13;1,56;1,53;2,34;7737;7373;364;12105;11255;850;322
20260330;2024;01;01;HOTEL;03;3 ESTRELLAS;APURÍMAC;030000;5;178;297;37,51;27,67;1,39;1,4;1,28;1829;1699;130;2548;2381;167;50
20260330;2024;01;01;HOTEL;03;3 ESTRELLAS;AREQUIPA;040000;69;2064;3832;25,16;21,7;2,02;2,06;1,89;12777;9607;3170;25781;19780;6001;612
20260330;2024;01;01;HOTEL;03;3 ESTRELLAS;AYACUCHO;050000;9;280;534;18,4;18,55;2,54;2,54;2,51;1210;1122;88;3070;2849;221;84
20260330;2024;01;01;HOTEL;03;3 ESTRELLAS;CAJAMARCA;060000;70;2191;3812;16,93;12,19;1,5;1,49;1,58;9633;9421;212;14407;14071;336;424
20260330;2024;01;01;HOTEL;03;3 ESTRELLAS;CALLAO;070000;4;233;391;37,03;35,29;1,63;1,53;2,06;2631;2138;493;4278;3261;1017;56
20260330;2024;01;01;HOTEL;03;3 ESTRELLAS;CUSCO;080000;88;3161;6175;30,55;26,48;1,81;1,8;1,81;28047;7853;20194;50680;14128;36552;1014
20260330;2024;01;01;HOTEL;03;3 ESTRELLAS;HUANCAVELICA;090000;2;65;108;6,85;5,05;1,36;1,36;0;124;124;0;169;169;0;10
20260330;2024;01;01;HOTEL;03;3 ESTRELLAS;HUÁNUCO;100000;18;658;1297;25,85;21,88;1,61;1,59;2,04;5466;5260;206;8798;8378;420;155
20260330;2024;01;01;HOTEL;03;3 ESTRELLAS;ICA;110000;66;2253;4382;37,73;29,17;1,47;1,51;1,31;27009;21181;5828;39628;32008;7620;509
20260330;2024;01;01;HOTEL;03;3 ESTRELLAS;JUNÍN;120000;20;771;1434;20,29;14,8;1,59;1,58;1,79;4134;4001;133;6578;6340;238;192
20260330;2024;01;01;HOTEL;03;3 ESTRELLAS;LA LIBERTAD;130000;77;2294;4438;28,71;22,68;1,58;1,56;1,9;19748;18624;1124;31202;29071;2131;551
20260330;2024;01;01;HOTEL;03;3 ESTRELLAS;LAMBAYEQUE;140000;35;1134;1895;26,19;22,11;1,43;1,42;1,71;9060;8673;387;12987;12327;660;240
20260330;2024;01;01;HOTEL;03;3 ESTRELLAS;LIMA;150000;163;8441;16102;38,78;33,48;1,63;1,43;2,11;102275;71417;30858;167132;101953;65179;1857
20260330;2024;01;01;HOTEL;03;3 ESTRELLAS;LORETO;160000;26;756;1325;34,7;29,62;2,25;2,31;1,98;5410;4364;1046;12168;10096;2072;232
