query	main_class	status	hdfs_path	local_result	jar
query01	labca1.query01.ArrivalsByOriginDriver	SUCCESS	/labs/query01/output	/home/sergi/Documents/semesters/nine/bigdata/labs/labca1/queries/query01/resultados/query01/resultado.txt	/home/sergi/Documents/semesters/nine/bigdata/labs/labca1/queries/query01/resultados/query01/query01.jar
query02	labca1.query02.OccupancyByDepartmentDriver	SUCCESS	/labs/query02/output	/home/sergi/Documents/semesters/nine/bigdata/labs/labca1/queries/query02/resultados/query02/resultado.txt	/home/sergi/Documents/semesters/nine/bigdata/labs/labca1/queries/query02/resultados/query02/query02.jar
query03	labca1.query03.OccupancyByClassDriver	SUCCESS	/labs/query03/output	/home/sergi/Documents/semesters/nine/bigdata/labs/labca1/queries/query03/resultados/query03/resultado.txt	/home/sergi/Documents/semesters/nine/bigdata/labs/labca1/queries/query03/resultados/query03/query03.jar
query04	labca1.query04.EmploymentCapacityDriver	SUCCESS	/labs/query04/output	/home/sergi/Documents/semesters/nine/bigdata/labs/labca1/queries/query04/resultados/query04/resultado.txt	/home/sergi/Documents/semesters/nine/bigdata/labs/labca1/queries/query04/resultados/query04/query04.jar
query05	labca1.query05.SeasonalityDriver	SUCCESS	/labs/query05/output	/home/sergi/Documents/semesters/nine/bigdata/labs/labca1/queries/query05/resultados/query05/resultado.txt	/home/sergi/Documents/semesters/nine/bigdata/labs/labca1/queries/query05/resultados/query05/query05.jar
query06	labca1.query06.OccupancyStatisticsDriver	SUCCESS	/labs/query06/output	/home/sergi/Documents/semesters/nine/bigdata/labs/labca1/queries/query06/resultados/query06/resultado.txt	/home/sergi/Documents/semesters/nine/bigdata/labs/labca1/queries/query06/resultados/query06/query06.jar
query07	labca1.query07.SubstringSearchDriver	SUCCESS	/labs/query07/output	/home/sergi/Documents/semesters/nine/bigdata/labs/labca1/queries/query07/resultados/query07/resultado.txt	/home/sergi/Documents/semesters/nine/bigdata/labs/labca1/queries/query07/resultados/query07/query07.jar
query08	labca1.query08.OccupancyExtremesDriver	SUCCESS	/labs/query08/output	/home/sergi/Documents/semesters/nine/bigdata/labs/labca1/queries/query08/resultados/query08/resultado.txt	/home/sergi/Documents/semesters/nine/bigdata/labs/labca1/queries/query08/resultados/query08/query08.jar
query09	labca1.query09.OccupancyChangeDriver	SUCCESS	/labs/query09/output	/home/sergi/Documents/semesters/nine/bigdata/labs/labca1/queries/query09/resultados/query09/resultado.txt	/home/sergi/Documents/semesters/nine/bigdata/labs/labca1/queries/query09/resultados/query09/query09.jar
query10	labca1.query10.ForeignShareDriver	SUCCESS	/labs/query10/output	/home/sergi/Documents/semesters/nine/bigdata/labs/labca1/queries/query10/resultados/query10/resultado.txt	/home/sergi/Documents/semesters/nine/bigdata/labs/labca1/queries/query10/resultados/query10/query10.jar
query11	labca1.query11.NaiveBayesClassificationDriver	SUCCESS	/labs/query11/output	/home/sergi/Documents/semesters/nine/bigdata/labs/labca1/queries/query11/resultados/query11/resultado.txt	/home/sergi/Documents/semesters/nine/bigdata/labs/labca1/queries/query11/resultados/query11/query11.jar
query12	labca1.query12.LogisticClassificationDriver	SUCCESS	/labs/query12/output	/home/sergi/Documents/semesters/nine/bigdata/labs/labca1/queries/query12/resultados/query12/resultado.txt	/home/sergi/Documents/semesters/nine/bigdata/labs/labca1/queries/query12/resultados/query12/query12.jar
query13	labca1.query13.LinearRegressionDriver	SUCCESS	/labs/query13/output	/home/sergi/Documents/semesters/nine/bigdata/labs/labca1/queries/query13/resultados/query13/resultado.txt	/home/sergi/Documents/semesters/nine/bigdata/labs/labca1/queries/query13/resultados/query13/query13.jar
query14	labca1.query14.RidgeRegressionDriver	SUCCESS	/labs/query14/output	/home/sergi/Documents/semesters/nine/bigdata/labs/labca1/queries/query14/resultados/query14/resultado.txt	/home/sergi/Documents/semesters/nine/bigdata/labs/labca1/queries/query14/resultados/query14/query14.jar
