2019;AMAZONAS	mean_tnoh=25.4508
2019;APURÍMAC	mean_tnoh=38.5883
2019;AREQUIPA	mean_tnoh=28.7383
2019;AYACUCHO	mean_tnoh=27.2100
2019;CAJAMARCA	mean_tnoh=23.0567
2019;CALLAO	mean_tnoh=40.9142
2019;CUSCO	mean_tnoh=26.9108
2019;HUANCAVELICA	mean_tnoh=22.1083
2019;HUÁNUCO	mean_tnoh=30.8067
2019;ICA	mean_tnoh=26.7333
2019;JUNÍN	mean_tnoh=22.5917
2019;LA LIBERTAD	mean_tnoh=30.7350
2019;LAMBAYEQUE	mean_tnoh=24.6842
2019;LIMA	mean_tnoh=32.8608
2019;LORETO	mean_tnoh=24.0542
2019;MADRE DE DIOS	mean_tnoh=24.8325
2019;MOQUEGUA	mean_tnoh=23.1592
2019;PASCO	mean_tnoh=22.5292
2019;PIURA	mean_tnoh=30.6442
2019;PUNO	mean_tnoh=25.1158
2019;SAN MARTÍN	mean_tnoh=29.6025
2019;TACNA	mean_tnoh=20.7342
2019;TUMBES	mean_tnoh=23.5217
2019;UCAYALI	mean_tnoh=25.1383
2019;ÁNCASH	mean_tnoh=25.2067
2020;AMAZONAS	mean_tnoh=14.3867
2020;APURÍMAC	mean_tnoh=17.6100
2020;AREQUIPA	mean_tnoh=20.7008
2020;AYACUCHO	mean_tnoh=10.5858
2020;CAJAMARCA	mean_tnoh=15.6208
2020;CALLAO	mean_tnoh=25.7092
2020;CUSCO	mean_tnoh=15.9217
2020;HUANCAVELICA	mean_tnoh=14.1442
2020;HUÁNUCO	mean_tnoh=15.8417
2020;ICA	mean_tnoh=22.5608
2020;JUNÍN	mean_tnoh=14.5375
2020;LA LIBERTAD	mean_tnoh=18.1675
2020;LAMBAYEQUE	mean_tnoh=17.7575
2020;LIMA	mean_tnoh=23.0042
2020;LORETO	mean_tnoh=15.8300
2020;MADRE DE DIOS	mean_tnoh=22.7842
2020;MOQUEGUA	mean_tnoh=15.8900
2020;PASCO	mean_tnoh=13.3325
2020;PIURA	mean_tnoh=24.3642
2020;PUNO	mean_tnoh=20.2767
2020;SAN MARTÍN	mean_tnoh=20.7092
2020;TACNA	mean_tnoh=9.6425
2020;TUMBES	mean_tnoh=16.7792
2020;UCAYALI	mean_tnoh=20.4175
2020;ÁNCASH	mean_tnoh=14.2608
2021;AMAZONAS	mean_tnoh=21.2017
2021;APURÍMAC	mean_tnoh=15.8300
2021;AREQUIPA	mean_tnoh=22.6425
2021;AYACUCHO	mean_tnoh=8.9600
2021;CAJAMARCA	mean_tnoh=15.5925
2021;CALLAO	mean_tnoh=30.0308
2021;CUSCO	mean_tnoh=17.4192
2021;HUANCAVELICA	mean_tnoh=16.2758
2021;HUÁNUCO	mean_tnoh=20.2442
2021;ICA	mean_tnoh=20.1358
2021;JUNÍN	mean_tnoh=17.1233
2021;LA LIBERTAD	mean_tnoh=30.1342
