2019;AMAZONAS	employment_per_100_rooms=17.7241
2019;APURÍMAC	employment_per_100_rooms=18.0354
2019;AREQUIPA	employment_per_100_rooms=21.7695
2019;AYACUCHO	employment_per_100_rooms=18.2322
2019;CAJAMARCA	employment_per_100_rooms=18.9213
2019;CALLAO	employment_per_100_rooms=36.1577
2019;CUSCO	employment_per_100_rooms=29.7821
2019;HUANCAVELICA	employment_per_100_rooms=16.6451
2019;HUÁNUCO	employment_per_100_rooms=18.6620
2019;ICA	employment_per_100_rooms=23.4471
2019;JUNÍN	employment_per_100_rooms=17.5392
2019;LA LIBERTAD	employment_per_100_rooms=21.2480
2019;LAMBAYEQUE	employment_per_100_rooms=22.2047
2019;LIMA	employment_per_100_rooms=74.3232
2019;LORETO	employment_per_100_rooms=22.1744
2019;MADRE DE DIOS	employment_per_100_rooms=23.5797
2019;MOQUEGUA	employment_per_100_rooms=19.5342
2019;PASCO	employment_per_100_rooms=17.0611
2019;PIURA	employment_per_100_rooms=21.3050
2019;PUNO	employment_per_100_rooms=21.0379
2019;SAN MARTÍN	employment_per_100_rooms=19.4618
2019;TACNA	employment_per_100_rooms=20.5874
2019;TUMBES	employment_per_100_rooms=35.0229
2019;UCAYALI	employment_per_100_rooms=21.2571
2019;ÁNCASH	employment_per_100_rooms=17.8500
2020;AMAZONAS	employment_per_100_rooms=14.8137
2020;APURÍMAC	employment_per_100_rooms=16.7294
2020;AREQUIPA	employment_per_100_rooms=19.3507
2020;AYACUCHO	employment_per_100_rooms=14.1283
2020;CAJAMARCA	employment_per_100_rooms=15.4968
2020;CALLAO	employment_per_100_rooms=26.8042
2020;CUSCO	employment_per_100_rooms=21.5252
2020;HUANCAVELICA	employment_per_100_rooms=15.6762
2020;HUÁNUCO	employment_per_100_rooms=15.5518
2020;ICA	employment_per_100_rooms=21.1652
2020;JUNÍN	employment_per_100_rooms=17.3694
2020;LA LIBERTAD	employment_per_100_rooms=16.5301
2020;LAMBAYEQUE	employment_per_100_rooms=20.3957
2020;LIMA	employment_per_100_rooms=61.1130
2020;LORETO	employment_per_100_rooms=17.4264
2020;MADRE DE DIOS	employment_per_100_rooms=18.8381
2020;MOQUEGUA	employment_per_100_rooms=17.8342
2020;PASCO	employment_per_100_rooms=15.3060
2020;PIURA	employment_per_100_rooms=18.5513
2020;PUNO	employment_per_100_rooms=19.6873
2020;SAN MARTÍN	employment_per_100_rooms=15.5897
2020;TACNA	employment_per_100_rooms=14.9268
2020;TUMBES	employment_per_100_rooms=22.3328
2020;UCAYALI	employment_per_100_rooms=19.1557
