AMAZONAS	2019=25.4508	2024=16.1917	change_pp=-9.2592
APURÍMAC	2019=38.5883	2024=19.8558	change_pp=-18.7325
AREQUIPA	2019=28.7383	2024=21.9567	change_pp=-6.7817
AYACUCHO	2019=27.2100	2024=15.8508	change_pp=-11.3592
CAJAMARCA	2019=23.0567	2024=15.7517	change_pp=-7.3050
CALLAO	2019=40.9142	2024=41.5950	change_pp=0.6808
CUSCO	2019=26.9108	2024=28.2725	change_pp=1.3617
HUANCAVELICA	2019=22.1083	2024=16.4200	change_pp=-5.6883
HUÁNUCO	2019=30.8067	2024=20.6425	change_pp=-10.1642
ICA	2019=26.7333	2024=24.0000	change_pp=-2.7333
JUNÍN	2019=22.5917	2024=22.1492	change_pp=-0.4425
LA LIBERTAD	2019=30.7350	2024=14.7108	change_pp=-16.0242
LAMBAYEQUE	2019=24.6842	2024=19.3925	change_pp=-5.2917
LIMA	2019=32.8608	2024=23.5750	change_pp=-9.2858
LORETO	2019=24.0542	2024=12.9917	change_pp=-11.0625
MADRE DE DIOS	2019=24.8325	2024=24.9267	change_pp=0.0942
MOQUEGUA	2019=23.1592	2024=20.1867	change_pp=-2.9725
PASCO	2019=22.5292	2024=19.1608	change_pp=-3.3683
PIURA	2019=30.6442	2024=31.1325	change_pp=0.4883
PUNO	2019=25.1158	2024=22.4408	change_pp=-2.6750
SAN MARTÍN	2019=29.6025	2024=25.0508	change_pp=-4.5517
TACNA	2019=20.7342	2024=15.9058	change_pp=-4.8283
TUMBES	2019=23.5217	2024=16.7958	change_pp=-6.7258
UCAYALI	2019=25.1383	2024=30.1825	change_pp=5.0442
ÁNCASH	2019=25.2067	2024=19.4683	change_pp=-5.7383
