AMAZONAS;CURRENT_2025_H1	mean_foreign_share=3.7817
AMAZONAS;IMPACT_2020_2021	mean_foreign_share=2.3690
AMAZONAS;PRE_2019	mean_foreign_share=5.0108
AMAZONAS;RECOVERY_2022_2024	mean_foreign_share=3.1335
APURÍMAC;CURRENT_2025_H1	mean_foreign_share=1.8031
APURÍMAC;IMPACT_2020_2021	mean_foreign_share=0.6181
APURÍMAC;PRE_2019	mean_foreign_share=1.1558
APURÍMAC;RECOVERY_2022_2024	mean_foreign_share=1.3871
AREQUIPA;CURRENT_2025_H1	mean_foreign_share=27.1375
AREQUIPA;IMPACT_2020_2021	mean_foreign_share=5.3824
AREQUIPA;PRE_2019	mean_foreign_share=19.9240
AREQUIPA;RECOVERY_2022_2024	mean_foreign_share=21.2756
AYACUCHO;CURRENT_2025_H1	mean_foreign_share=1.7194
AYACUCHO;IMPACT_2020_2021	mean_foreign_share=1.9878
AYACUCHO;PRE_2019	mean_foreign_share=1.5702
AYACUCHO;RECOVERY_2022_2024	mean_foreign_share=1.7476
CAJAMARCA;CURRENT_2025_H1	mean_foreign_share=1.6970
CAJAMARCA;IMPACT_2020_2021	mean_foreign_share=2.0254
CAJAMARCA;PRE_2019	mean_foreign_share=2.0604
CAJAMARCA;RECOVERY_2022_2024	mean_foreign_share=1.4480
CALLAO;CURRENT_2025_H1	mean_foreign_share=6.7209
CALLAO;IMPACT_2020_2021	mean_foreign_share=4.1910
CALLAO;PRE_2019	mean_foreign_share=13.8453
CALLAO;RECOVERY_2022_2024	mean_foreign_share=8.0271
CUSCO;CURRENT_2025_H1	mean_foreign_share=67.4504
CUSCO;IMPACT_2020_2021	mean_foreign_share=20.5234
CUSCO;PRE_2019	mean_foreign_share=63.3747
CUSCO;RECOVERY_2022_2024	mean_foreign_share=58.3507
HUANCAVELICA;CURRENT_2025_H1	mean_foreign_share=0.3507
HUANCAVELICA;IMPACT_2020_2021	mean_foreign_share=0.2328
HUANCAVELICA;PRE_2019	mean_foreign_share=0.6376
HUANCAVELICA;RECOVERY_2022_2024	mean_foreign_share=0.3162
HUÁNUCO;CURRENT_2025_H1	mean_foreign_share=0.4996
HUÁNUCO;IMPACT_2020_2021	mean_foreign_share=0.6583
